NOMBRE,CANAL ,AÑO,EPISODIOS,AUDIENCIA,DIRECTORES,REPARTO PRINCIPAL ,
Los días jóvenes ,T13,1967,93,SIN INFO ,Herval Rossano,Mirella Latorre y Mario Rodríguez,
El loco estero ,T13,1968,SIN INFO ,SIN INFO ,SIN INFO  ,Alicia Quiroga y Nelson Villagra,
Incomunicados,T13,1968,SIN INFO ,SIN INFO ,SIN INFO  ,Yoya Martínez y Jorge Sallorenzo,
El socio ,T13,1968,68,SIN INFO ,Helvio Soto,Silvia Santelices y Leonardo Perucci,
El rosario de plata,T13,1969,SIN INFO ,SIN INFO ,SIN INFO  ,Virginia Fischer y Leonardo Perucci,
La chica del bastón,T13,1969,SIN INFO ,SIN INFO ,SIN INFO  ,Anita Klesky y Leonardo Perucci,
La señora,T13,1969,SIN INFO ,SIN INFO ,Regis Bartizzaghi,"Fernanda Mistral, Gonzalo Robles y Sonia Viveros",
El padre gallo,TVN,1970,63,80 puntos de audiencia,José Caviedes,Leonardo Perucci y Peggy Cordero,
Cuarteto para instrumentos de muerte,TVN, 1970,22,SIN INFO (policial),José Caviedes,"Leonardo Perucci, Enrique Heine y Silvia Santelices",
Martín Rivas ,TVN,1970,45,Dos remakes los años posteriores,José Caviedes,Silvia Santelices y Leonardo Perucci,
La pendiente ,T13,1971,60," 87,3 % de los televisores encendidos a dicha hora",Hugo Miller ,Gloria Münchmeyer y Liliana Ross,
La amortajada,TVN,1971,20,SIN INFO,José Caviedes,Sara Astica y Leonardo Perucci,
La sal del desierto,TVN,1972,145,"Más conocida, aun no había audiencia masiva",Hugo Miller ,Leonardo Perucci y Héctor Noguera,
Fuerte Bulnes ,TVN,1973,SIN INFO,SIN INFO,SIN INFO,SIN INFO,
María José ,T13, 1975,70,SIN INFO ,José Caviedes,"Yael Unger, Yael Unger, Amelia Requena y Jorge Yáñez",
J.J. Juez ,T13,1975,SIN INFO ,SIN INFO ,José Caviedes,Amelia Requena y Walter Kliche,
La otra soledad ,T13,1975,SIN INFO ,SIN INFO ,José Caviedes,Sonia Viveros ,
Sol tardío,TVN,1976,149,SIN INFO,José Caviedes,"Malú Gatica, Patricio Achurra, Violeta Vidaurre",
Tiempo de espera,TVN,1976,SIN INFO,SIN INFO,SIN INFO,SIN INFO,
La colorina ,TVN,1977,88,SIN INFO,José Caviedes,Liliana Ross y Patricio Achurra,
Los amigos,TVN,1977,SIN INFO,SIN INFO,SIN INFO,SIN INFO,
El secretro de Isabel,TVN,1978,88 (1 EMITIDO),SIN INFO,José Caviedes,"Malú Gatica, Shlomit Baytelman, Ana María Palma",
Sonata de violín y piano,TVN,1979,SIN INFO,SIN INFO,SIN INFO,SIN INFO,
Martín Rivas,TVN,1979,6,Primera a color. Remake de una antigua,Sergio Riesenberg,"Sonia Viveros, Alejandro Cohen y Mario Montilles",
La madrastra ,T13,1981,106,80 pts de audiencia,Óscar Rodríguez,Yael Unger y Walter Kliche ,
Villa Los Aromos,TVN,1981,55,SIN INFO,Claudio Guzmán,"Armaldo Berríos, Mario Montilles y Luz Jiménez",
Amelia,TVN,1981,15,SIN INFO,Gonzalo Medina,Margarita Barón y Frankie Bravo,
La gran mentira,TVN,1982,112,"35,6 puntos de audiencia.",Herval Rossano,"Shlomit Baytelman, Bastián BodenhÖfer y María Izquierdo",
Bienvenido hermano Andes ,T13,1982,,"40,1 pts de audiencia",Ricardo de la Fuente,Gonzalo Robles y Ana María Palma ,
Casa grande ,T13,1982,80,SIN INFO,Ricardo de la Fuente,"Virginia Fischer, Luis Alarcón, Shlomit Baytelman, John Knuckey",
Celos ,T13,1982,90,"31,7 pts de audiencia",José Caviedes,"José María Langlais, Ximena Vidal y Ramón Farías",
Alguien por quien vivir ,T13, 1982,117,"41,7 pts de audiencia",Óscar Rodríguez," Sonia Viveros. Cristián Campos, Walter Kliche, Patricio Achurra y Claudia Di Girolamo",
De cara al mañana,TVN, 1982,67,"30,6 pts de audiencia",Jorge Pedreros,"Silvia Piñeiro, Alfredo Castro, Tomás Videilla",
El juego de la vida,TVN,1983,138,32 puntos de audiencia,Herval Rossano,"Alejandro Cohen, Nívea María, Sonia Viveros",
La noche del cobarde ,T13,1983,102,39 pts de audiencia,Óscar Rodríguez," Jael Unger, Walter Kliche y Sonia Viveros",
Las herederas ,T13,1984,125,"43,6 pts de audiencia",Regis Bartizzaghi,"Coca Guazzini, Shlomit Baytelman, Sandra Solimano, Patricia Guzmán y Marés González",
La torre 10,TVN,1984,104,49 puntos de audiencia. La segunda más vista,Vicente Sabatini,Sonia Viveros y Tomás Vidiella,
"Andrea, justicia de mujer",T13,1984,85,18 pts de audiencia,Cristián Mason,Cecilia Cenci y Patricio Achurra,
Los títeres,T13,1984,96,38 pts de audiencia,Óscar Rodríguez,Claudia Di Girolamo y Gloria Munchmeyer ,
La represa,TVN,1984,103,31 pts de audiencia,Ricardo Vicuña ,"Sonia Viveros, Malú Gatica y Luis Alarcón",
La trampa ,T13,1985,65,"33,5 pts de audiencia",Cristián Mason," Jael Unger, Cristián Campos, Soledad Pérez y Jorge Yáñez",
Marta a las 8,TVN, 1985,22,29 puntos de audiencia.,Vicente Sabatini,"Sonia Viveros, Luis Alarcón, Lucy Salgado",
Matrimonio de papel ,T13, 1985,50,30 pts de audiencia,Óscar Rodríguez,Bastián Bodenhöfer y Rebeca Ghigliotto,
El prisionero de la medianoche ,T13, 1985,38,"33,6 pts de audiencia",, Jaime Vadell y María Elena Duvauchelle,
Morir de amor,TVN, 1985,101,SIN INFO,Vicente Sabatini,"Fedora Kiwadenko, Nelson Brodt",
Secreto de familia,T13,1986,92,"32,7 pts de audiencia",Cristián Mason, Claudia Di Girolamo y Cristián Campos,
La dama del balcón,TVN,1986,86,SIN INFO,Ricardo Vicuña ,"Loreto Valenzuela, Nelson Brodt y Alejandro Cohen",
La villa,TVN,1986,187,SIN INFO,Ricardo Vicuña ,"Sonia Viveros, Tomás Vidiella y Consuelo Holzapfel",
Ángel malo ,T13,1986,110,52 pts de audiencia,Óscar Rodríguez, Jaime Vadell y María Elena Duvauchelle,
La invitación,T13,1987,70,"26,2 pts de audiencia",Óscar Rodríguez, Walter Kliche y Claudia Di Girolamo,
La quintrala,TVN,1987,10,Primera miniserie,Vicente Sabatini,Raquel Argandoña,
Mi nombre es Lara,TVN,1987,102,"34,6 pts de audiencia",Ricardo Vicuña ,"Bastián BodenhÖfer, Sonia Viveros, Elena Muñoz",
Matilde dedos verdes ,T13, 1988,40,SIN INFO,Óscar Rodríguez,Maricarmen Arrigorriaga y Mauricio Pesutic,
La última cruz ,T13,1988,103,"34,2 pts de audiencia",Cristián Mason," Tennyson Ferrada, Yael Unger, Jaime Vadell",
Bellas y audaces,TVN,1988,101,33 puntos de audiencia.,Ricardo Vicuña ,"Sonia Viveros, Luz Jiménez, Osvaldo Silva",
Semidios ,T13,1988,125,34 pts de audiencia,Óscar Rodríguez,"Roberto Vander, Maricarmen Arrigorriaga",
Las dos caras del amor,TVN,1988,60,22 pts de audiencia,Vicente Sabatini,"Osvaldo Silva, Sonia Viveros, Silvia Piñeiro",
Vivir así ,T13,1988,41,"18,9 pts de audiencia",Vicente Sabatini,Jaime Vadell y Patricia Guzmán,
Teresa de los Andes,TVN,1989,5,Tuvo un eco en Canal 13.,Vicente Sabatini,"Paulina Urrutia, Silvia Santelices, Carlos Matamala",
A la sombra del ángel,TVN,1989,97,24 de rating. 22 puntos de audiencia. ,René Schneider ,"Nancy Paulsen, Peggy Cordero, Remigio Remedy",
Bravo ,T13,1989,100,SIN INFO,Alejandro Rojas,Roberto Vander y  Andrea Tessa,
La intrusa ,T13,1989,87,"26,8 pts de audiencia",Cristián Mason,Amparo Noguera y Sebastián Dahm,
¿Te conté?,T13, 1990,110,38 pts de audiencia,Óscar Rodríguez,"Bastián Bodenhöfer, Carolina Arregui y Claudia Di Girolamo",
El milagro de vivir,TVN,1990,80,16 puntos de audiencia.,Vicente Sabatini,Consuelo Holzapfel y Tomás Vidiella,
Villa Nápoli,T13,1991,98,38 pts de audiencia,Óscar Rodríguez,Walter Kliche y Ana González,
Volver a empezar ,TVN,1991,110,15 pts de audiencia,Vicente Sabatini,"Claudia Di Girolamo, Yael Unger, Alfredo Castro",
Ellas por ellas,T13,1991,81,"28,2 pts de audiencia",Ricardo Vicuña,Bastián Bodenhöfer y Ana María Martínez,
Acércate más ,T13,1991,96,"25,2 pts de audiencia",Ricardo Vicuña,"Patricio Achurra, Sandra Solimano y Ana María Gazmuri.",
Trampas y caretas ,TVN,1992,105,Adaptación libre de teleserie brasileña,Vicente Sabatini,"Bastián BodenhÖfer, Claudia Di Girolamo y Francisco Rreyes",
Fácil de amar ,T13,1992,92,"24,5 pts de audiencia",Cristián Mason," Cristián Campos, Sandra O'Ryan, Catalina Guerra, Sebastián Dahm",
El palo al gato,T13,1992,65,"14,1 pts de audiencia",Óscar Rodríguez,"Jaime Vadell, Gloria Münchmeyer, Carolina Arregui",
Marrón glacé,T13,1993,100,"24,7 pts de audiencia",Óscar Rodríguez," Gloria Münchmeyer, Carolina Arregui y Katty Kowaleczko",
Jaque Mate,TVN,1993,95,13 pts de audiencia,Vicente Sabatini,"Claudia Di Girolamo, Francisco Reyes, Paulina Urrutia",
Doble juego ,T13, 1993,113,"16,4 pts de audiencia",Ricardo Vicuña,"Cristián Campos, Gloria Laso, Patricio Achurra, Sandra O'Ryan y Catalina Guerra.",
Ámame ,TVN, 1993,97,Más de 22 pts.,María Eugenia Rencoret,"Bastián BodenhÖfer, Ángela Contreras y Ana María Gazmuri",
Top secret ,T13,1994,85,"13,4 pts de audiencia",Óscar Rodríguez,Cristián Campos y Sandra O'Ryan.,
Rojo y miel ,TVN,1994,90,"21,6 pts de audiencia",María Eugenia Rencoret,Bastián BodenhÖfer y Ángela Contreras,
Rompecorazón,TVN,1994,98,25 pts de audiencia.,Vicente Sabatini,"Claudia Di Girolamo, Carolina Fadic y Renato Müster",
Champaña,T13,1994,92,"16,8 pts de audiencia",Cristián Mason,"Jaime Vadell, Álvaro Rudolphy, Aline Kuppenheim, Alfredo Castro y Gloria Münchmeyer",
Juegos de fuego,TVN,1995,88,"17,4 pts de audiencia",María Eugenia Rencoret,Bastián BodenhÖfer y Alejandra Fosalba,
Amor a domicilio,T13,1995,102,"19,1 pts de audiencia",Cristián Mason,Alejandra Herrera y Luciano Cruz-Coke,
Estúpido cupido,TVN,1995,112,"25,8 pts de audiencia.",Vicente Sabatini,"Claudia Di Girolamo, Francisco Reyes, Carolina Fadic",
El amor está de moda ,T13,1995,85,"16,4 pts de audiencia",Ricardo Vicuña,Fernando Kliche y Roberto Poblete. Con Aline Kuppenheim y el debutante Luciano Cruz-Coke.,
Loca piel ,TVN,1996,91,"20,9 pts de audiencia. Le ganó Adrenalina ",María Eugenia Rencoret,"Bastián BodenhÖfer, Javiera Contador, Álvaro Escobar",
Adrenalina ,T13,1996,103,24 pts de audiencia,Ricardo Vicuña, Francisca Merino y Luciano Cruz-Coke,
Sucupira ,TVN,1996,108,"33 pts. 27,6 pts de rating.",Vicente Sabatini,"Francisco Reyes, Héctor Noguera, Ángela Contreras",
Marrón Galacé 2,T13,1996,97,"17,2 pts de audiencia",Óscar Rodríguez,Fernando Kliche y Katty Kowaleczko,
Tic Tac,TVN,1997,90,"19,8 pts de audiencia",María Eugenia Rencoret,"Bastián BodenhÖfer, Leonor Varela",
Santiago city,MEGA,1997,17,"5,7 pts de audiencia.",Hugo Soto,Ana María Gazmuri y Juan Falcón,
Playa salvaje ,T13,1997,110,"32,7 pts de audiencia",Óscar Rodríguez," Catalina Pulido, Cristián Campos, Alejandra Herrera y Juan Pablo Sáez",
Oro verde,TVN,1997,104,25 pts de audiencia.,Vicente Sabatini,"Claudia Di Girolamo, Carolina Fadic, Francisco Reyes",
Eclipse de luna ,T13,1997,94,"14,4 pts de audiencia",Cristián Mason,Aline Kuppenheim y Cristián De La Fuente.,
Rossabella,MEGA,1997,93,11 pts de audiencia. ,Herval Abreu,Enzo Viena y Liliana Ross,
Marparaíso ,T13,1998,102,"26,8 pts de audiencia",Cristián Mason, Alejandra Herrera y Jorge Zabaleta,
Borrón y cuenta nueva,TVN,1998,103,"18,8 pts de audiencia",Leonardo Rojas,"Patricia Rivadeneira, Jaime Vadell, Ximena Rivas, Enrique Cintolesi, Álvaro Rudolphy, Sigrid Alegría",
Amándote ,T13,1998,105,"13,5 pts de audiencia",Ricardo Vicuña,"Cristián Campos, María Izquierdo, Jorge Zabaleta y María José Prieto. ",
Iorana ,TVN,1998,103,"30,2 pts de audiencia. Alcanzó hasta 60 pts.",Vicente Sabatini,"Claudia Di Girolamo, Francisco Reyes, Álvaro Morales y Alejandra Fosalba",
A todo dar,MEGA,1998,125,"18,2 pts de audiencia.",Herval Abreu,Alejandro Castillo y Liliana García,
Cerro alegre ,T13,1999,100,"22,1 pts de audiencia",Cristián Mason,"Cristián Campos, Jorge Zabaleta y Francisca Merino",
Aquelarre,TVN,1999,105,"30,5 pts de audiencia. ",María Eugenia Rencoret,Bastián BodenhÖfer y Sigrid Alegría,
Algo está cambiando,MEGA,1999,97,"8,8 pts de audiencia",Herval Abreu,Carolina Fadic y Renato Münster,
Fuera de control ,T13,1999,97,"19,9 pts de audiencia",Óscar Rodríguez, Úrsula Achterberg y Romeo Singer,
La Fiera,TVN, 1999,106,"31,8 pts de audiencia.",Vicente Sabatini,Claudia Di Girolamo y Francisco Reyes,
Santo ladrón,TVN,2000,93,"26,7 pts de audiencia.",María Eugenia Rencoret,"Álvaro Rudolphy, Sigrtid Alegría, Bastián BodenhÖfer y Catalina Guerra",
Romané ,TVN,2000,115,"38,2 pts de audiencia.",Vicente Sabatini,"Claudia Di Girolamo, Francisco Reyes, Héctor Noguera y Francisco Melo",
Sabor a ti,T13,2000,124,"16,7 pts de audiencia",Cristián Mason,Carolina Fadic y Luciano Cruz-Coke ,
Amores de mercado,TVN,2001,103,"46,7 pts de rating. Máx 64 pts.",María Eugenia Rencoret,"Álvaro Rudolphy, Ángela Contreras y Alejandra Fosalba",
Piel canela,T13,2001,69,"11,3 pts de audiencia.",Cristián Mason,"Paz Bascuñán, Benjamín Vicuña y Gonzalo Valenzuela",
Corazón pirata,T13,2001,106,14 pts de audiencia,Óscar Rodríguez,"Cristián Campos, María Izquierdo, Jorge Zabaleta y María José Prieto",
Pampa Ilusión,TVN, 2001,114,"36,5 pts de audiencia",Vicente Sabatini,"Claudia Di Girolamo, Héctor Noguera, Delfina Guzmán y Francisco Reyes",
Buen partido,T13,2002,95,"8,6 pts de audiencia",Rodolfo Antúnez," Gonzalo Robles, Berta Lasala y Fernando Kliche",
Purasangre,TVN,2002,114,"32,5 pts de audiencia",María Eugenia Rencoret,"Álvaro Rudolphy, Gloria Münchmeyer, Fracisco Pérez Bannen, Ángela Contreras",
El circo de las Montini,TVN,2002,125,"36,4 pts de audiencia. Peak de 58 en rating.",Vicente Sabatini,"Delfina Guzmán, Claudia Di Girólamo y Francisco Melo",
Pecadores,TVN,2003,95,"Partió con 33,6 pts de audiencia y durante la emisión mantuvo 25 pts.",María Eugenia Rencoret,"Álvaro Rudolphy, Francisca Imboden y Benjamín Vicuña",
16,TVN,2003,98,Primer estreno en horario vespertino.,Víctor Huerta,Francisca Lewin y Cristián Arriagada,
Puertas adentro,TVN,2003,112,Estreno con más de 33 pts.,Vicente Sabatini,"Claudia Di Girolamo, Francisco Reyes, Francisco Melo y Paz Bascuñán",
Machos,T13,2003,163,"38,7 pts de audiencia",Herval Abreu,"Héctor Noguera, Cristián Campos, Rodrigo Bastidas, Felipe Braun, Gonzalo Valenzuela, Jorge Zabaleta, Diego Muñoz y Pablo Díaz",
Amores urbanos,MEGA,2003,80,"14,9 pts de audiencia.",Álex Hernández,Philippe Trillat y Carla Jara,
Hippie,T13,2004,109,"22,9 pts de audiencia",Cristián Galaz,"Jorge Zabaleta, Gonzalo Valenzuela, Diego Muñoz y Pablo Díaz",
Los pincheira,TVN,2004,127,"37,5 pts de audiencia.",Vicente Sabatini," Francisco Reyes, Tamara Acosta, Claudia Di Girolamo, Francisco Melo, Ricardo Fernández, Paz Bascuñán, Álvaro Morales y  Antonia Zegers",
ídolos ,TVN,2004,84,"32,9 pts de rating.",Óscar Rodríguez,Claudia Di Girolamo y Álvaro Espinoza,
Destinos cruzados ,TVN, 2004,108," 24,9 pts de audiencia",María Eugenia Rencoret,"Álvaro Rudolphy, Aline Küppenheim y Luciano Cruz-Coke",
Xfea2,MEGA, 2004,115,"14,2 pts de audiencia.",Álex Hernández,Philippe Trillat y Carla Jara,
Los capo,TVN, 2005,124,"14,7 pts de audiencia.",Vicente Sabatini,"Francisco Reyes, Amparo Noguera, Marcelo Alonso, Francisca Lewin",
Escool,MEGA, 2005,79,"19,9 pts de audiencia",Álex Hernández,Philippe Trillat y Ximena Abarca,
Tentación,T13, 2005,110,"17,9 pts de audiencia",Herval Abreu,Sigrid Alegría y Héctor Noguera,
Versus,TVN,2005,90,25 pts de rating y un peak de 28 pts de audiencia,María Eugenia Rencoret,"Francisco Melo, María José Urzúa, Cristián Arriagada",
Mitú,MEGA,2005,SIN INFO,"6,1 de audiencia",Álex Hernández,Andrea Freund y Agustín Moya,
Brujas,T13,2005,135,"37,5 pts de audiencia.",Guillermo Helo,"Carolina Arregui, Jorge Zabaleta y María Elena Swett",
Montecristo,MEGA, 2006,94,Primera noctura ,Ivan Canales,Gonzalo Valenzuela y Ingrid Isensee,
